iterations,test-MultiClass-mean,test-MultiClass-std,train-MultiClass-mean,train-MultiClass-std
164,1.2707695702121882,0.0044582994382765355,1.2492802383693888,0.004084870001665796
165,1.2702683143522444,0.004330884110090475,1.2487729517113846,0.003994293473400403
166,1.2698107661980589,0.004303056796493183,1.2481852078410642,0.00384453686397802
167,1.269492787553625,0.004329637554711278,1.2476947091026376,0.003789990907400225
168,1.2689768261190888,0.004418752400678806,1.2470733997036665,0.0038547728036606695
169,1.2685666220201235,0.004456695605912519,1.2464695023231784,0.003984735423363843
170,1.2680639733118118,0.004497597629418547,1.2458492287700447,0.004107942886655914
171,1.2676858838310516,0.0044807176000699975,1.245200066984323,0.004218437189081538
172,1.2671894405308872,0.004406661358077821,1.2445843267412564,0.004173588481115938
173,1.2669092142208356,0.004430993233747185,1.2440080051873497,0.0040760111676635
174,1.266493012564498,0.00450398231568786,1.2434744485010838,0.004200601668781976
175,1.2658905080476885,0.0044215934277489,1.242843830198562,0.004173970682968237
176,1.2654661725826422,0.00437742989678268,1.242200196052764,0.004187503185238956
177,1.265020368769317,0.004374312715508371,1.2416433911294829,0.004093681895634837
178,1.264580424694619,0.004529278891274775,1.2410825693898484,0.004212559432266545
179,1.2641447254513594,0.004368261254934993,1.2405552725561428,0.004174243516863369
180,1.2636492634378889,0.004511876109940425,1.239945650645571,0.004310069930349955
181,1.263319958323105,0.004460362662283284,1.2393310746167547,0.004305797720172505
182,1.2628479520522593,0.004561639800277304,1.238792162478901,0.004294673626343901
183,1.2625254055724309,0.004489071370523126,1.2381781400837026,0.004282878516304754
184,1.2619234189233737,0.004605561440489043,1.2374349528406074,0.004311124308987907
185,1.2614609737697347,0.004709916851762302,1.2367971080006872,0.004321118846177461
186,1.260999596530065,0.004678154060307418,1.236154522433555,0.004221228112068287
187,1.2604786074114298,0.00479220103364931,1.235528634471536,0.00418757829028566
188,1.2600498254680486,0.004736091000255747,1.2349250788822617,0.004138897265524784
189,1.2597066097308312,0.004751595671722735,1.2343539095664073,0.004138164173314733
