iter	Passed	Remaining
1044	17063	31922
1045	17080	31908
1046	17098	31894
1047	17115	31880
1048	17132	31863
1049	17149	31848
1050	17165	31832
1051	17181	31815
1052	17197	31798
1053	17216	31787
1054	17237	31779
1055	17255	31765
1056	17272	31750
1057	17289	31735
1058	17306	31720
1059	17322	31703
1060	17340	31690
1061	17359	31678
1062	17376	31664
1063	17395	31652
1064	17413	31639
1065	17429	31622
1066	17445	31605
1067	17462	31589
1068	17478	31572
1069	17493	31554
1070	17509	31536
1071	17525	31519
1072	17541	31502
1073	17558	31488
1074	17578	31478
1075	17597	31466
1076	17616	31454
1077	17635	31443
1078	17652	31427
1079	17667	31409
1080	17682	31390
1081	17697	31371
1082	17713	31353
1083	17729	31337
1084	17743	31316
1085	17758	31298
1086	17772	31278
1087	17787	31258
1088	17801	31238
1089	17816	31219
1090	17831	31200
1091	17846	31182
1092	17861	31163
1093	17876	31145
1094	17891	31127
1095	17909	31112
1096	17929	31102
1097	17947	31089
1098	17963	31071
1099	17979	31055
1100	17994	31036
1101	18008	31016
1102	18023	30997
1103	18036	30975
1104	18050	30955
1105	18064	30935
1106	18078	30915
1107	18092	30894
1108	18107	30875
1109	18121	30856
1110	18136	30837
1111	18151	30818
1112	18166	30799
1113	18181	30781
1114	18195	30761
1115	18210	30741
1116	18232	30735
1117	18249	30720
1118	18265	30703
1119	18280	30685
1120	18297	30669
1121	18312	30651
1122	18330	30637
1123	18345	30619
1124	18360	30600
1125	18374	30581
1126	18390	30563
1127	18405	30544
1128	18420	30526
1129	18434	30506
1130	18449	30488
1131	18468	30475
1132	18486	30462
1133	18504	30448
1134	18524	30438
1135	18545	30430
1136	18563	30417
1137	18580	30401
1138	18595	30382
1139	18613	30369
1140	18630	30354
1141	18647	30338
1142	18663	30321
1143	18680	30306
1144	18696	30289
1145	18713	30275
1146	18732	30262
1147	18749	30247
1148	18766	30232
1149	18783	30216
1150	18798	30198
1151	18816	30184
1152	18834	30171
1153	18854	30161
1154	18875	30151
1155	18893	30138
1156	18909	30121
1157	18925	30104
1158	18941	30087
1159	18958	30071
1160	18974	30055
1161	18990	30037
1162	19004	30018
1163	19020	30000
1164	19036	29984
1165	19051	29966
1166	19068	29951
1167	19085	29935
1168	19102	29919
1169	19119	29904
1170	19136	29889
1171	19151	29871
1172	19168	29855
1173	19185	29839
1174	19208	29834
1175	19228	29823
1176	19244	29806
1177	19261	29791
1178	19277	29775
1179	19293	29758
1180	19312	29745
1181	19329	29730
1182	19346	29715
1183	19363	29699
1184	19381	29685
1185	19400	29672
1186	19417	29657
1187	19432	29639
1188	19449	29624
1189	19465	29606
1190	19482	29591
1191	19498	29575
1192	19516	29560
1193	19536	29550
1194	19556	29539
1195	19573	29524
1196	19591	29509
1197	19608	29494
1198	19625	29478
1199	19641	29462
1200	19657	29446
1201	19675	29431
1202	19693	29417
1203	19710	29402
1204	19727	29385
1205	19744	29371
1206	19761	29355
1207	19776	29337
1208	19793	29322
1209	19811	29307
1210	19829	29293
1211	19845	29277
1212	19862	29261
1213	19879	29246
1214	19904	29241
1215	19921	29226
1216	19938	29211
1217	19954	29194
1218	19970	29177
1219	19986	29160
1220	20004	29145
1221	20019	29128
1222	20037	29114
1223	20054	29098
1224	20071	29082
1225	20086	29065
1226	20103	29049
1227	20119	29032
1228	20136	29016
1229	20152	29000
1230	20169	28984
1231	20187	28969
1232	20203	28953
1233	20221	28938
1234	20242	28929
1235	20260	28915
1236	20276	28899
1237	20293	28883
1238	20313	28871
1239	20332	28858
1240	20350	28844
1241	20366	28827
1242	20383	28812
1243	20400	28796
1244	20419	28783
1245	20436	28768
1246	20453	28753
1247	20471	28738
1248	20488	28723
1249	20507	28710
1250	20523	28693
1251	20541	28678
1252	20558	28664
1253	20582	28657
1254	20601	28645
1255	20620	28632
1256	20638	28618
1257	20655	28602
1258	20671	28585
1259	20686	28567
1260	20701	28548
1261	20715	28529
1262	20730	28510
1263	20745	28491
1264	20758	28471
1265	20772	28451
1266	20787	28433
1267	20802	28415
1268	20820	28400
1269	20836	28383
1270	20851	28365
1271	20867	28348
1272	20883	28331
1273	20898	28312
1274	20914	28296
1275	20935	28286
1276	20952	28270
1277	20970	28256
1278	20985	28237
1279	21001	28220
1280	21017	28203
1281	21031	28184
1282	21045	28165
1283	21059	28145
1284	21074	28127
1285	21088	28106
1286	21104	28089
1287	21119	28071
1288	21134	28053
1289	21149	28034
1290	21163	28015
1291	21178	27998
1292	21194	27980
1293	21209	27961
1294	21224	27943
1295	21238	27924
1296	21263	27919
1297	21280	27903
1298	21296	27886
1299	21312	27870
1300	21328	27852
1301	21344	27835
1302	21359	27818
1303	21375	27801
1304	21393	27786
1305	21408	27768
1306	21422	27748
1307	21437	27731
1308	21452	27713
1309	21467	27694
1310	21481	27675
1311	21497	27657
1312	21511	27638
1313	21525	27620
1314	21540	27601
1315	21557	27586
1316	21574	27570
1317	21590	27553
1318	21606	27536
1319	21621	27518
1320	21640	27505
1321	21661	27495
1322	21682	27484
1323	21700	27470
1324	21718	27455
1325	21735	27439
1326	21755	27428
1327	21773	27414
1328	21791	27398
1329	21806	27381
1330	21824	27366
1331	21842	27352
1332	21865	27343
1333	21889	27336
1334	21905	27320
1335	21922	27304
1336	21938	27287
1337	21954	27270
1338	21970	27254
1339	21989	27240
1340	22005	27224
1341	22022	27207
1342	22037	27189
1343	22053	27173
1344	22070	27157
1345	22086	27140
1346	22102	27123
1347	22120	27108
1348	22136	27091
1349	22152	27075
1350	22168	27057
1351	22184	27041
1352	22204	27029
1353	22227	27020
1354	22246	27007
1355	22265	26994
1356	22281	26977
1357	22299	26962
1358	22316	26946
1359	22331	26928
1360	22347	26912
1361	22362	26894
1362	22377	26876
1363	22392	26857
1364	22406	26838
1365	22422	26822
1366	22438	26804
1367	22453	26786
1368	22467	26767
1369	22482	26749
1370	22498	26732
1371	22513	26713
1372	22528	26695
1373	22543	26678
1374	22559	26661
1375	22577	26646
1376	22596	26632
1377	22612	26616
1378	22627	26598
1379	22644	26582
1380	22661	26566
1381	22676	26549
1382	22691	26530
1383	22706	26512
1384	22721	26495
1385	22737	26477
1386	22750	26458
1387	22765	26439
1388	22780	26421
1389	22796	26404
1390	22810	26385
1391	22826	26368
1392	22841	26350
1393	22857	26333
1394	22872	26316
1395	22892	26303
1396	22910	26289
1397	22927	26272
1398	22942	26255
1399	22958	26238
1400	22972	26219
1401	22987	26200
1402	23001	26182
1403	23016	26164
1404	23031	26146
1405	23047	26128
1406	23062	26111
1407	23077	26092
1408	23092	26074
1409	23106	26056
1410	23121	26038
1411	23135	26019
1412	23151	26002
1413	23166	25984
1414	23181	25966
1415	23196	25948
1416	23215	25934
1417	23230	25917
1418	23247	25901
1419	23263	25884
1420	23278	25866
1421	23296	25852
1422	23312	25835
1423	23328	25818
1424	23343	25801
1425	23358	25783
1426	23373	25764
1427	23388	25746
1428	23402	25728
1429	23417	25709
1430	23432	25692
1431	23447	25673
1432	23460	25654
1433	23476	25637
1434	23491	25619
1435	23511	25607
1436	23527	25590
1437	23544	25574
1438	23559	25556
1439	23574	25538
1440	23588	25520
1441	23604	25503
1442	23619	25485
1443	23633	25466
1444	23648	25449
1445	23663	25430
1446	23678	25413
1447	23693	25395
1448	23707	25376
1449	23723	25360
1450	23737	25340
1451	23752	25322
1452	23767	25304
1453	23785	25290
1454	23805	25277
1455	23826	25266
1456	23843	25250
1457	23859	25234
1458	23874	25216
1459	23890	25200
1460	23906	25182
1461	23921	25165
1462	23935	25146
1463	23949	25127
1464	23964	25109
1465	23979	25091
1466	23995	25075
1467	24010	25057
1468	24024	25038
1469	24039	25020
1470	24055	25003
1471	24070	24986
1472	24085	24967
1473	24099	24949
1474	24113	24930
1475	24132	24917
1476	24151	24903
1477	24166	24886
1478	24181	24867
1479	24197	24851
1480	24212	24834
1481	24228	24817
1482	24243	24799
1483	24257	24781
1484	24271	24762
1485	24288	24745
1486	24304	24729
1487	24319	24711
1488	24335	24694
1489	24351	24678
1490	24365	24659
1491	24380	24642
1492	24395	24623
1493	24410	24606
1494	24426	24589
1495	24443	24574
1496	24462	24560
1497	24478	24543
1498	24493	24526
1499	24508	24508
1500	24524	24491
1501	24539	24474
1502	24554	24456
1503	24570	24439
1504	24584	24421
1505	24598	24402
1506	24612	24384
1507	24628	24366
1508	24643	24349
1509	24658	24332
1510	24673	24313
1511	24688	24296
1512	24703	24278
1513	24719	24261
1514	24733	24243
1515	24748	24225
1516	24778	24223
1517	24802	24213
1518	24819	24198
1519	24835	24182
1520	24851	24164
1521	24867	24148
1522	24882	24130
1523	24896	24112
1524	24912	24095
1525	24926	24077
1526	24942	24060
1527	24956	24042
1528	24971	24024
1529	24985	24005
1530	24999	23987
1531	25015	23970
1532	25030	23953
1533	25046	23936
1534	25061	23918
1535	25076	23901
1536	25097	23889
1537	25115	23874
1538	25130	23857
1539	25145	23838
1540	25160	23822
1541	25175	23804
1542	25191	23787
1543	25205	23769
1544	25220	23751
1545	25236	23734
1546	25251	23717
1547	25265	23698
1548	25281	23682
1549	25296	23664
1550	25311	23646
1551	25326	23629
1552	25342	23612
1553	25357	23595
1554	25372	23577
1555	25389	23561
1556	25410	23550
1557	25427	23534
1558	25442	23516
1559	25459	23500
1560	25474	23483
1561	25489	23465
1562	25504	23448
1563	25519	23430
1564	25535	23414
1565	25550	23396
1566	25565	23379
1567	25580	23361
1568	25596	23344
1569	25611	23327
1570	25626	23310
1571	25642	23293
1572	25656	23275
1573	25671	23257
1574	25687	23241
1575	25706	23226
1576	25724	23212
1577	25742	23197
1578	25759	23181
1579	25776	23166
1580	25794	23151
1581	25810	23134
1582	25829	23121
1583	25849	23108
1584	25866	23091
1585	25885	23078
1586	25902	23062
1587	25917	23044
1588	25935	23030
1589	25953	23015
1590	25969	22998
1591	25983	22980
1592	25998	22962
1593	26014	22946
1594	26033	22932
1595	26049	22915
1596	26065	22898
1597	26081	22882
1598	26096	22865
1599	26111	22847
1600	26125	22828
1601	26139	22810
1602	26154	22793
1603	26168	22775
1604	26183	22757
1605	26198	22740
1606	26214	22723
1607	26228	22704
1608	26243	22687
1609	26257	22669
1610	26273	22652
1611	26289	22636
1612	26304	22619
1613	26319	22601
1614	26335	22584
1615	26351	22568
1616	26373	22556
1617	26389	22540
1618	26405	22523
1619	26420	22506
1620	26435	22488
1621	26450	22471
1622	26465	22454
1623	26479	22435
1624	26493	22417
1625	26508	22400
1626	26522	22382
1627	26538	22365
1628	26553	22347
1629	26567	22329
1630	26581	22311
1631	26596	22293
1632	26610	22276
1633	26625	22258
1634	26641	22241
1635	26656	22224
1636	26677	22211
1637	26695	22196
1638	26713	22182
1639	26729	22165
1640	26745	22149
1641	26762	22133
1642	26778	22117
1643	26794	22100
1644	26810	22084
1645	26825	22066
1646	26840	22049
1647	26854	22031
1648	26869	22013
1649	26883	21995
1650	26897	21977
1651	26913	21960
1652	26928	21943
1653	26942	21925
1654	26958	21908
1655	26978	21895
1656	26996	21880
1657	27011	21863
1658	27026	21846
1659	27041	21828
1660	27057	21812
1661	27072	21794
1662	27087	21777
1663	27100	21758
1664	27114	21740
1665	27128	21722
1666	27142	21704
1667	27156	21686
1668	27171	21668
